agent_id,trigger_kind,input_text,skill,duration_ms,cost_usd,tokens_in,tokens_out,retry_count,status
fraud_scorer,api,Score this claim · policy PL-123456 · amount $25000,"[""analyze_logs"", ""generate_rca"", ""create_ticket"", ""assess_damage""]",16,0.0,9,68,0,Success
claim_intake,api,FNOL · policy PL-789 · vehicle damage from collision,"[""assess_damage"", ""score_fraud_risk"", ""validate_coverage""]",16,0.0,9,51,0,Success
fraud_scorer,api,Suspicious large claim,"[""create_ticket"", ""assess_damage"", ""score_fraud_risk""]",90,0.0,3,33,0,Success
fraud_scorer,api,Trace test,"[""assess_damage"", ""score_fraud_risk"", ""analyze_logs"", ""generate_rca""]",88,0.0,2,40,0,Success
sys_watchdog_api,cron-watchdog,"{""category"": ""API"", ""agent_id"": ""sys_watchdog_api"", ""result"": [{""count"": 23}], ""status"": ""ok""}",[],1591,0.0,121,30,0,Success
sys_watchdog_errors,cron-watchdog,"{""category"": ""Errors"", ""agent_id"": ""sys_watchdog_errors"", ""result"": [{""count"": 0}], ""status"": ""ok""}",[],1418,0.0,121,22,0,Success
fraud_scorer,api,Score this claim · policy PL-123456 · amount $25000,"[""analyze_logs"", ""generate_rca"", ""create_ticket"", ""assess_damage""]",81,0.0,9,68,0,Success
claim_intake,api,FNOL · policy PL-789 · vehicle damage from collision,"[""assess_damage"", ""score_fraud_risk"", ""validate_coverage""]",76,0.0,9,51,0,Success
fraud_scorer,api,Score this claim · policy PL-123456 · amount $25000,"[""analyze_logs"", ""generate_rca"", ""create_ticket"", ""assess_damage""]",126,0.0,9,68,0,Success
claim_intake,api,FNOL · policy PL-789 · vehicle damage from collision,"[""assess_damage"", ""score_fraud_risk"", ""validate_coverage""]",93,0.0,9,51,0,Success
sys_watchdog_errors,cron-watchdog,"{""category"": ""Errors"", ""agent_id"": ""sys_watchdog_errors"", ""result"": [{""count"": 0}], ""status"": ""ok""}",[],1743,0.0,121,33,0,Success
fraud_scorer,api,Trace test,"[""assess_damage"", ""score_fraud_risk"", ""analyze_logs"", ""generate_rca""]",124,0.0,2,40,0,Success
fraud_scorer,api,Trace test,"[""assess_damage"", ""score_fraud_risk"", ""analyze_logs"", ""generate_rca""]",139,0.0,2,40,0,Success
fraud_scorer,api,Score this claim · policy PL-123456 · amount $25000,"[""analyze_logs"", ""generate_rca"", ""create_ticket"", ""assess_damage""]",173,0.0,9,68,0,Success
claim_intake,api,FNOL · policy PL-789 · vehicle damage from collision,"[""assess_damage"", ""score_fraud_risk"", ""validate_coverage""]",154,0.0,9,51,0,Success
sys_watchdog_mcp,cron-watchdog,"{""category"": ""MCP"", ""agent_id"": ""sys_watchdog_mcp"", ""result"": [{""count"": 4}], ""status"": ""ok""}",[],2026,0.0,125,36,0,Success
fraud_scorer,api,Trace test,"[""assess_damage"", ""score_fraud_risk"", ""analyze_logs"", ""generate_rca""]",129,0.0,2,40,0,Success
fraud_scorer,api,Score this claim · policy PL-123456 · amount $25000,"[""analyze_logs"", ""generate_rca"", ""create_ticket"", ""assess_damage""]",122,0.0,9,68,0,Success
claim_intake,api,FNOL · policy PL-789 · vehicle damage from collision,"[""assess_damage"", ""score_fraud_risk"", ""validate_coverage""]",120,0.0,9,51,0,Success
fraud_scorer,api,Trace test,"[""assess_damage"", ""score_fraud_risk"", ""analyze_logs"", ""generate_rca""]",118,0.0,2,40,0,Success
sys_watchdog_errors,cron-watchdog,"{""category"": ""Errors"", ""agent_id"": ""sys_watchdog_errors"", ""result"": [{""count"": 0}], ""status"": ""ok""}",[],2033,0.0,121,35,0,Success
sys_watchdog_scalability,cron-watchdog,"{""category"": ""Scalability"", ""agent_id"": ""sys_watchdog_scalability"", ""result"": [{""max"": ""0.00""}], ""status"": ""ok""}",[],1118,0.0,128,17,0,Success
sys_watchdog_tokens,cron-watchdog,"{""category"": ""Tokens"", ""agent_id"": ""sys_watchdog_tokens"", ""result"": [{""sum"": ""0.0000""}], ""status"": ""ok""}",[],1471,0.0,126,26,0,Success
sys_watchdog_chunking,cron-watchdog,"{""category"": ""Chunking"", ""agent_id"": ""sys_watchdog_chunking"", ""result"": [{""avg"": ""61.6417910447761194""}], ""status"": ""ok""}",[],2605,0.0,133,34,0,Success
sys_watchdog_mcp,cron-watchdog,"{""category"": ""MCP"", ""agent_id"": ""sys_watchdog_mcp"", ""result"": [{""count"": 4}], ""status"": ""ok""}",[],1607,0.0,125,29,0,Success
sys_watchdog_mcp,cron-watchdog,"{""category"": ""MCP"", ""agent_id"": ""sys_watchdog_mcp"", ""result"": [{""count"": 4}], ""status"": ""ok""}",[],1218,0.0,125,17,0,Success
incident_triage,slack-cmd,is the payment API healthy?,"[""check_cloud_health""]",24013,0.0,107,49,0,Success
incident_triage,slack-cmd,is payment up?,"[""check_cloud_health""]",2832,0.0,105,57,0,Success
sys_watchdog_jobs,cron-watchdog,"{""category"": ""Jobs"", ""agent_id"": ""sys_watchdog_jobs"", ""result"": [{""queue_status"": ""Pending"", ""count"": 4}], ""status"": ""ok""}","[""sys_check_queue_depth""]",7705,0.0,0,0,0,Success
